epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,7946.09,1.18803,0.62072,0.88404,0.86927,0.61424,0.68243,0.40324,1.35225,2.06342,0.86642,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,8120.65,1.18517,0.61651,0.88543,0.81703,0.64835,0.70849,0.41383,1.35974,1.9122,0.86128,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,8294.26,1.17782,0.61564,0.88568,0.84751,0.61087,0.68533,0.40478,1.31596,2.04258,0.85859,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8468.42,1.17659,0.6106,0.88405,0.83435,0.62251,0.68294,0.4028,1.35854,2.08797,0.86225,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8641.23,1.17871,0.61452,0.88267,0.87773,0.6114,0.69087,0.39993,1.33479,2.05477,0.85975,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8813.79,1.16874,0.60648,0.88041,0.89913,0.59862,0.69258,0.40652,1.35228,2.01872,0.85843,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,8987.59,1.16791,0.60527,0.88172,0.85429,0.62589,0.69103,0.40493,1.35998,2.10281,0.86996,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,9162.2,1.15956,0.60279,0.88042,0.86466,0.61648,0.68125,0.40111,1.32734,2.09459,0.86002,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,9335.56,1.16381,0.60067,0.8794,0.86082,0.62031,0.6839,0.40021,1.35971,2.21025,0.86463,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,9509.08,1.16532,0.60131,0.88053,0.87618,0.61317,0.7026,0.41063,1.34662,1.95661,0.85973,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9682.77,1.1576,0.59777,0.87946,0.87943,0.61409,0.69188,0.40617,1.37971,2.27912,0.86549,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,9856.16,1.15068,0.59401,0.87753,0.86877,0.61208,0.69155,0.40632,1.35416,2.02468,0.86306,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,10028.8,1.15415,0.59044,0.87765,0.85988,0.62533,0.68993,0.40529,1.36714,2.16185,0.86625,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,10201.4,1.14567,0.59015,0.87625,0.86346,0.61517,0.6952,0.40988,1.33804,2.06225,0.85786,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,10375.3,1.142,0.58879,0.87753,0.87988,0.60496,0.68854,0.40578,1.32858,2.12569,0.85711,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,10549.7,1.13806,0.58645,0.87658,0.82107,0.64744,0.69271,0.40755,1.33316,2.12766,0.85859,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,10722.5,1.1445,0.58349,0.87477,0.86144,0.61412,0.68384,0.40422,1.34676,2.18004,0.85951,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,10896.2,1.14262,0.58409,0.87487,0.86602,0.61989,0.6966,0.41058,1.32839,2.01007,0.85502,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,11070.2,1.14192,0.58495,0.87377,0.85192,0.63729,0.69677,0.41407,1.30859,2.07472,0.85626,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,11244.1,1.13324,0.57811,0.87199,0.85546,0.62627,0.68984,0.41069,1.31462,2.11138,0.85344,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,11421,1.12815,0.57457,0.87388,0.88163,0.61589,0.68956,0.40682,1.33528,2.14334,0.85555,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,11593.3,1.11987,0.56814,0.87169,0.87241,0.63597,0.69497,0.41061,1.33166,2.18033,0.85631,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,11767.4,1.1226,0.57255,0.87017,0.8735,0.62942,0.68733,0.40711,1.33778,2.23525,0.85543,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
