epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,4317.05,1.0995,0.48543,0.87651,0.93011,0.84683,0.8713,0.51239,1.17022,0.4671,0.91649,0.000222875,0.000222875,0.000222875
85,4369.48,1.09273,0.48174,0.87677,0.92638,0.84737,0.86952,0.50789,1.1708,0.46635,0.91652,0.0002105,0.0002105,0.0002105
86,4420.15,1.09715,0.48575,0.87752,0.93008,0.84252,0.87252,0.51303,1.16692,0.46502,0.91487,0.000198125,0.000198125,0.000198125
87,4472.24,1.09015,0.48083,0.879,0.92477,0.83908,0.86523,0.50564,1.16491,0.467,0.915,0.00018575,0.00018575,0.00018575
88,4522.72,1.09229,0.47836,0.87766,0.92938,0.84782,0.87645,0.51168,1.17004,0.46302,0.91726,0.000173375,0.000173375,0.000173375
89,4573.38,1.08846,0.47907,0.87719,0.92481,0.84906,0.87212,0.5127,1.16572,0.46221,0.91522,0.000161,0.000161,0.000161
90,4625.89,1.08057,0.47494,0.87463,0.92744,0.84404,0.86598,0.51063,1.17412,0.4655,0.91736,0.000148625,0.000148625,0.000148625
91,4678.76,1.06157,0.46029,0.88274,0.92283,0.83369,0.86172,0.5076,1.17593,0.46407,0.91849,0.00013625,0.00013625,0.00013625
92,4729.75,1.04547,0.45142,0.8804,0.92207,0.83427,0.86509,0.50803,1.17501,0.46397,0.91841,0.000123875,0.000123875,0.000123875
93,4779.29,1.04334,0.44968,0.88086,0.91308,0.83639,0.86894,0.50986,1.17504,0.46569,0.91754,0.0001115,0.0001115,0.0001115
94,4828.69,1.03845,0.44711,0.88092,0.92563,0.83465,0.86864,0.50855,1.17532,0.46573,0.91823,9.9125e-05,9.9125e-05,9.9125e-05
95,4878.71,1.02958,0.44604,0.8758,0.92171,0.84039,0.87185,0.51039,1.17909,0.46477,0.91876,8.675e-05,8.675e-05,8.675e-05
96,4929.09,1.02937,0.44506,0.87733,0.91601,0.84489,0.86924,0.51082,1.17474,0.46208,0.91752,7.4375e-05,7.4375e-05,7.4375e-05
97,4977.94,1.0287,0.44274,0.87648,0.92279,0.84096,0.86937,0.5095,1.17677,0.4638,0.91814,6.2e-05,6.2e-05,6.2e-05
98,5027.25,1.02419,0.44195,0.87463,0.92069,0.84058,0.86549,0.50948,1.17424,0.46262,0.91781,4.9625e-05,4.9625e-05,4.9625e-05
99,5078.42,1.0199,0.44077,0.87602,0.92108,0.84342,0.87009,0.50968,1.17831,0.46396,0.91843,3.725e-05,3.725e-05,3.725e-05
100,5127.84,1.01479,0.43837,0.87687,0.93228,0.84167,0.8732,0.5124,1.17618,0.46322,0.91769,2.4875e-05,2.4875e-05,2.4875e-05
